"","probesDrop"
"1","cg00000292"
"2","cg00001809"
"3","cg00002116"
"4","cg00002464"
"5","cg00003818"
"6","cg00004073"
"7","cg00004667"
"8","cg00004771"
"9","cg00005072"
"10","cg00005541"
"11","cg00007426"
"12","cg00007540"
"13","cg00007800"
"14","cg00007810"
"15","cg00008819"
"16","cg00009167"
"17","cg00009196"
"18","cg00009523"
"19","cg00009916"
"20","cg00009922"
"21","cg00010242"
"22","cg00011346"
"23","cg00011564"
"24","cg00011924"
"25","cg00012036"
"26","cg00012123"
"27","cg00013655"
"28","cg00013993"
"29","cg00014333"
"30","cg00014733"
"31","cg00014900"
"32","cg00016406"
"33","cg00017157"
"34","cg00017639"
"35","cg00019085"
"36","cg00019151"
"37","cg00019196"
"38","cg00019880"
"39","cg00020340"
"40","cg00021558"
"41","cg00023507"
"42","cg00025155"
"43","cg00025626"
"44","cg00025680"
"45","cg00026731"
"46","cg00027155"
"47","cg00027162"
"48","cg00027586"
"49","cg00028014"
"50","cg00028677"
"51","cg00028881"
"52","cg00028993"
"53","cg00029052"
"54","cg00030117"
"55","cg00030466"
"56","cg00030588"
"57","cg00031556"
"58","cg00033209"
"59","cg00033213"
"60","cg00033877"
"61","cg00034433"
"62","cg00035449"
"63","cg00035608"
"64","cg00036115"
"65","cg00036299"
"66","cg00036614"
"67","cg00037763"
"68","cg00038675"
"69","cg00039627"
"70","cg00040013"
"71","cg00040530"
"72","cg00040646"
"73","cg00041564"
"74","cg00042335"
"75","cg00043004"
"76","cg00043324"
"77","cg00044501"
"78","cg00045070"
"79","cg00046336"
"80","cg00046913"
"81","cg00047553"
"82","cg00047753"
"83","cg00048381"
"84","cg00049286"
"85","cg00049709"
"86","cg00050336"
"87","cg00050618"
"88","cg00050872"
"89","cg00051154"
"90","cg00052588"
"91","cg00053063"
"92","cg00053261"
"93","cg00053536"
"94","cg00053769"
"95","cg00054243"
"96","cg00054409"
"97","cg00054741"
"98","cg00055434"
"99","cg00055462"
"100","cg00055986"
"101","cg00056268"
"102","cg00056628"
"103","cg00057240"
"104","cg00060836"
"105","cg00060975"
"106","cg00061551"
"107","cg00061805"
"108","cg00061811"
"109","cg00062072"
"110","cg00062119"
"111","cg00062367"
"112","cg00062736"
"113","cg00063699"
"114","cg00064347"
"115","cg00064589"
"116","cg00067141"
"117","cg00067606"
"118","cg00069771"
"119","cg00069815"
"120","cg00071265"
"121","cg00071391"
"122","cg00071575"
"123","cg00071727"
"124","cg00075967"
"125","cg00076195"
"126","cg00076487"
"127","cg00077457"
"128","cg00077586"
"129","cg00077738"
"130","cg00079375"
"131","cg00081852"
"132","cg00082729"
"133","cg00082981"
"134","cg00083359"
"135","cg00084271"
"136","cg00086297"
"137","cg00086334"
"138","cg00087067"
"139","cg00087746"
"140","cg00088251"
"141","cg00090091"
"142","cg00090265"
"143","cg00090282"
"144","cg00090338"
"145","cg00091162"
"146","cg00092821"
"147","cg00093095"
"148","cg00093354"
"149","cg00093522"
"150","cg00093794"
"151","cg00093900"
"152","cg00094095"
"153","cg00094913"
"154","cg00095526"
"155","cg00095594"
"156","cg00095677"
"157","cg00096742"
"158","cg00096956"
"159","cg00097452"
"160","cg00097518"
"161","cg00097539"
"162","cg00098182"
"163","cg00098188"
"164","cg00098336"
"165","cg00098985"
"166","cg00099094"
"167","cg00099216"
"168","cg00099427"
"169","cg00099985"
"170","cg00101227"
"171","cg00102266"
"172","cg00102685"
"173","cg00103771"
"174","cg00103785"
"175","cg00105041"
"176","cg00106621"
"177","cg00106739"
"178","cg00108694"
"179","cg00108938"
"180","cg00109069"
"181","cg00109131"
"182","cg00110192"
"183","cg00110675"
"184","cg00111463"
"185","cg00111697"
"186","cg00111826"
"187","cg00112341"
"188","cg00114618"
"189","cg00114694"
"190","cg00115178"
"191","cg00116658"
"192","cg00117012"
"193","cg00117311"
"194","cg00117869"
"195","cg00118542"
"196","cg00119687"
"197","cg00120473"
"198","cg00120810"
"199","cg00121389"
"200","cg00122779"
"201","cg00122941"
"202","cg00123214"
"203","cg00124902"
"204","cg00125002"
"205","cg00125893"
"206","cg00126887"
"207","cg00126946"
"208","cg00128273"
"209","cg00132509"
"210","cg00133223"
"211","cg00133234"
"212","cg00134212"
"213","cg00134539"
"214","cg00135841"
"215","cg00136279"
"216","cg00138777"
"217","cg00139242"
"218","cg00140361"
"219","cg00140494"
"220","cg00141143"
"221","cg00141308"
"222","cg00142106"
"223","cg00143986"
"224","cg00145055"
"225","cg00145596"
"226","cg00146240"
"227","cg00146669"
"228","cg00146756"
"229","cg00147462"
"230","cg00147578"
"231","cg00148558"
"232","cg00149061"
"233","cg00151007"
"234","cg00151810"
"235","cg00152577"
"236","cg00152644"
"237","cg00152757"
"238","cg00152878"
"239","cg00152978"
"240","cg00153942"
"241","cg00154902"
"242","cg00154920"
"243","cg00154950"
"244","cg00155535"
"245","cg00156057"
"246","cg00156497"
"247","cg00157012"
"248","cg00157016"
"249","cg00157656"
"250","cg00157668"
"251","cg00158254"
"252","cg00158770"
"253","cg00159400"
"254","cg00159953"
"255","cg00160066"
"256","cg00160872"
"257","cg00163702"
"258","cg00163861"
"259","cg00164335"
"260","cg00165619"
"261","cg00166653"
"262","cg00167248"
"263","cg00167655"
"264","cg00167913"
"265","cg00168193"
"266","cg00170037"
"267","cg00170799"
"268","cg00171565"
"269","cg00172085"
"270","cg00172696"
"271","cg00172967"
"272","cg00173504"
"273","cg00173776"
"274","cg00174918"
"275","cg00175423"
"276","cg00176101"
"277","cg00176546"
"278","cg00176675"
"279","cg00178551"
"280","cg00178785"
"281","cg00179576"
"282","cg00182593"
"283","cg00183173"
"284","cg00183239"
"285","cg00186383"
"286","cg00187437"
"287","cg00187606"
"288","cg00187933"
"289","cg00187981"
"290","cg00188089"
"291","cg00188503"
"292","cg00189276"
"293","cg00191957"
"294","cg00192046"
"295","cg00193200"
"296","cg00196012"
"297","cg00197191"
"298","cg00197266"
"299","cg00198603"
"300","cg00198994"
"301","cg00199047"
"302","cg00199065"
"303","cg00199549"
"304","cg00200408"
"305","cg00201870"
"306","cg00202389"
"307","cg00203037"
"308","cg00204465"
"309","cg00204649"
"310","cg00205058"
"311","cg00205157"
"312","cg00205436"
"313","cg00205813"
"314","cg00206463"
"315","cg00210189"
"316","cg00211215"
"317","cg00212114"
"318","cg00213905"
"319","cg00214504"
"320","cg00215425"
"321","cg00215744"
"322","cg00215902"
"323","cg00217080"
"324","cg00218215"
"325","cg00218628"
"326","cg00219626"
"327","cg00219792"
"328","cg00220429"
"329","cg00221788"
"330","cg00221830"
"331","cg00224471"
"332","cg00225618"
"333","cg00225917"
"334","cg00226143"
"335","cg00226306"
"336","cg00228142"
"337","cg00230183"
"338","cg00230586"
"339","cg00231519"
"340","cg00231528"
"341","cg00232059"
"342","cg00232265"
"343","cg00232816"
"344","cg00232832"
"345","cg00233594"
"346","cg00234017"
"347","cg00234027"
"348","cg00236077"
"349","cg00236150"
"350","cg00236249"
"351","cg00236261"
"352","cg00237268"
"353","cg00237512"
"354","cg00237520"
"355","cg00238295"
"356","cg00238468"
"357","cg00238805"
"358","cg00239061"
"359","cg00239952"
"360","cg00241218"
